"id","titulo","fecha","lugar","map_url","estado","cabecera_url","notas","creado_en","actualizado_en","descripcion_corta","descripcion_detalle","cartel_url","tickets_url","hora_puertas"
"ACT-2024-QUEM-PASTORES","Quem Pastores Laudavere","2024-12-19 18:30:00","Museo Iconográfico e Histórico de las Cortes y Sitio de Cádiz, Cádiz","https://maps.app.goo.gl/c6YARbYSEH1pNAG77","Pasada","/actuaciones/ACT-2024-QUEM-PASTORES/cabecera/ACT-2024-QUEM-PASTORES_header-md.jpg",NULL,"2026-01-04 16:25:48","2026-01-04 16:25:48","Concierto de Navidad: Quem Pastores Laudavere.","Concierto de Navidad en el Museo Iconográfico e Histórico de las Cortes y Sitio de Cádiz. Jueves 19/12/2024, 18:30 h.","/actuaciones/ACT-2024-QUEM-PASTORES/cartel/ACT-2024-QUEM-PASTORES_cartel-md.jpeg",NULL,NULL
"ACT-2024-QUEM-PASTORES-SF","Quem Pastores Laudavere","2024-12-22 19:30:00","Iglesia Evangélica del Buen Pastor, c\ Pérez Galdós 43, San Fernando (Cádiz)","https://maps.app.goo.gl/U9G83ejZb4QxFCnT9","Pasada","/actuaciones/ACT-2024-QUEM-PASTORES-SF/cabecera/ACT-2024-QUEM-PASTORES-SF_header-md.jpg",NULL,"2026-01-04 16:25:48","2026-01-04 16:25:48","Concierto de Navidad: Quem Pastores Laudavere.","Concierto de Navidad en la Iglesia Evangélica del Buen Pastor, c\ Pérez Galdós 43, San Fernando (Cádiz). Domingo 22/12/2024, 19:30 h.","/actuaciones/ACT-2024-QUEM-PASTORES-SF/cartel/ACT-2024-QUEM-PASTORES-SF_cartel-md.jpeg",NULL,NULL
"ACT-2025-NAVIDAD-SF","Concierto de Navidad","2025-12-13 20:00:00","Iglesia del Buen Pastor, San Fernando","https://maps.app.goo.gl/UNKUbgLPRLJU2ekw5","Pasada","/actuaciones/ACT-2025-NAVIDAD-SF/cabecera/ACT-2025-NAVIDAD-SF_header-md.jpg",NULL,"2026-01-03 19:49:44","2026-01-04 16:25:48","Programa navideño.","Concierto de Navidad con repertorio de villancicos y piezas clásicas. Invitados: coro juvenil local.","/actuaciones/ACT-2025-NAVIDAD-SF/cartel/ACT-2025-NAVIDAD-SF_cartel-md.jpg",NULL,"19:30:00"
"ACT-2025-PALMA","Función Novena Virgen de la Palma","2025-10-25 20:00:00","Iglesia de la Palma, Cádiz","https://maps.app.goo.gl/VGmZVuUXrPnw9bZv6","Pasada","/actuaciones/ACT-2025-PALMA/cabecera/ACT-2025-PALMA_header-md.jpeg",NULL,"2026-01-03 20:29:01","2026-01-04 11:08:05","Función de la Cofradía de la Palma.","Novena a la Virgen de la Palma con repertorio sacro y motetes.","/actuaciones/ACT-2025-PALMA/cartel/ACT-2025-PALMA_cartel-md.jpg",NULL,"19:15:00"
"ACT-2025-REQUIEM-JEREZ","Réquiem de Mozart","2025-08-02 20:00:00","Catedral de Jerez","https://maps.app.goo.gl/uwhqT4dfznwnhumZ8","Pasada","/actuaciones/ACT-2025-REQUIEM-JEREZ/cabecera/ACT-2025-REQUIEM-JEREZ_header-md.jpeg",NULL,"2026-01-03 20:36:23","2026-01-04 16:25:48","Réquiem de Mozart en la Catedral de Jerez.","Misa de Réquiem KV 626. Director: —, solistas: —, coro y orquesta —.","/actuaciones/ACT-2025-REQUIEM-JEREZ/cartel/ACT-2025-REQUIEM-JEREZ_cartel-md.jpg",NULL,NULL
"ACT-2025-SPE-LUCIS","Spe Lucis / Todo quanto pudo dar","2025-03-22 20:30:00","Claustros de Santo Domingo, Jerez","https://maps.app.goo.gl/i5SsKtVXmkuiJhsr6","Pasada","/actuaciones/ACT-2025-SPE-LUCIS/cabecera/ACT-2025-SPE-LUCIS_header-md.jpg",NULL,"2026-01-04 16:25:48","2026-01-04 16:25:48","Ciclo Cultural de Cuaresma: Spe Lucis / Todo quanto pudo dar.","Ciclo Cultural de Cuaresma. Programa: Spe Lucis y Todo quanto pudo dar. Sábado 22/03/2025, 20:30 h. Claustros de Santo Domingo, Jerez.","/actuaciones/ACT-2025-SPE-LUCIS/cartel/ACT-2025-SPE-LUCIS_cartel-md.jpeg",NULL,NULL
"ACT-2025-TODO-PUDO","Concierto de Cuaresma: Todo quanto pudo dar","2025-03-29 21:00:00","Iglesia de San Severiano, Cádiz","https://maps.app.goo.gl/DwTXB229wdbsEBgCA","Pasada","/actuaciones/ACT-2025-TODO-PUDO/cabecera/ACT-2025-TODO-PUDO_header-md.webp",NULL,"2026-01-04 16:25:48","2026-01-04 16:25:48","Concierto de Cuaresma: Todo quanto pudo dar.","Concierto de Cuaresma en la Iglesia de San Severiano, Cádiz. Sábado 29/03/2025, 21:00 h.","/actuaciones/ACT-2025-TODO-PUDO/cartel/ACT-2025-TODO-PUDO_cartel-md.jpeg",NULL,NULL
"ACT-2026-PALMA","Función Virgen de la Palma","2026-03-08 12:00:00","Iglesia de la Palma, Cádiz","https://maps.app.goo.gl/VGmZVuUXrPnw9bZv6","Pasada","/actuaciones/ACT-2025-PALMA/cabecera/ACT-2025-PALMA_header-md.jpeg",NULL,"2026-01-27 23:41:37","2026-01-27 23:41:37","Función en la Iglesia de la Palma.","Celebración en honor a la Virgen de la Palma. Horario y detalles finales por confirmar.",NULL,NULL,NULL
"ACT-2026-35ANIV","Concierto especial 35º aniversario NovaMvsica","2026-11-15 20:00:00","Lugar por confirmar",NULL,"Proxima","/actuaciones/ACT-2026-35ANIV/cabecera/ACT-2026-35ANIV_header-md.png",NULL,"2026-01-04 16:19:52","2026-01-04 16:19:52","Conmemoración del 35º aniversario del coro NovaMvsica.","Programa conmemorativo del 35º aniversario. Detalles de repertorio, lugar y horarios por confirmar.",NULL,NULL,NULL
"ACT-2026-BODA-CARMEN","Enlace nupcial","2026-05-16 12:00:00","Iglesia del Carmen, San Fernando","https://maps.app.goo.gl/6CfchBU2vek87eiD9","Proxima","/actuaciones/ACT-2026-BODA-CARMEN/cabecera/ACT-2026-BODA-CARMEN_header-md.jpg",NULL,"2026-01-04 16:25:48","2026-01-04 16:25:48","Enlace nupcial en la Iglesia del Carmen.","Ceremonia de boda. Repertorio y detalles finales por confirmar.",NULL,NULL,NULL
